chargeDescription,codeUcr,count,comb,category
SODOMY BY FORCE/VIOLENCE/FEAR VICTIM 14 YRS OF AGE OR OLDER (F),2A1,3,SODOMY BY FORCE/VIOLENCE/FEAR VICTIM 14 YRS OF AGE OR OLDER (F) - 2A1,1
SODOMY BY FORCE/VIOLENCE/FEAR VICTIM UNDER 14 YEARS (F),2A1,3,SODOMY BY FORCE/VIOLENCE/FEAR VICTIM UNDER 14 YEARS (F) - 2A1,1
SODOMY BY FORCE/VIOLENT/FEAR (F),2A1,33,SODOMY BY FORCE/VIOLENT/FEAR (F) - 2A1,1
SODOMY IN CONCERT WITH FORCE (F),2A1,1,SODOMY IN CONCERT WITH FORCE (F) - 2A1,1
SODOMY W/O CONSENT:DRUGGED VIC & DEF IN MENTAL FAC (F),2A1,2,SODOMY W/O CONSENT:DRUGGED VIC & DEF IN MENTAL FAC (F) - 2A1,1
SODOMY W/PERS UNDER 16 YEARS (F),2A1,2,SODOMY W/PERS UNDER 16 YEARS (F) - 2A1,1
SODOMY:VIC INCAPABLE OF GIVING CONSENT (F),2A1,7,SODOMY:VIC INCAPABLE OF GIVING CONSENT (F) - 2A1,1
SODOMY:VIC UNCONSCIOUS OF THE NATURE OF THE ACT (F),2A1,10,SODOMY:VIC UNCONSCIOUS OF THE NATURE OF THE ACT (F) - 2A1,1
SODOMY:VICTIM UNDER 10 YEARS OF AGE,2A1,2,SODOMY:VICTIM UNDER 10 YEARS OF AGE - 2A1,1
SODOMY:VICTIM UNDER 10 YEARS OF AGE (F),2A1,6,SODOMY:VICTIM UNDER 10 YEARS OF AGE (F) - 2A1,1
SODOMY/VICTIM UNCONSCIOUS OF THE NATURE OF ACT,2A1,1,SODOMY/VICTIM UNCONSCIOUS OF THE NATURE OF ACT - 2A1,1
ASSAULT W/INTENT TO COMMIT RAPE (F),2B0,69,ASSAULT W/INTENT TO COMMIT RAPE (F) - 2B0,1
ATTEMPTED RAPE,2B0,2,ATTEMPTED RAPE - 2B0,1
RAPE,2B0,11,RAPE - 2B0,1
RAPE BY FORCE/FEAR (F),2B0,6,RAPE BY FORCE/FEAR (F) - 2B0,1
RAPE OF SPOUSE BY FORCE/FEAR/THREAT,2B0,2,RAPE OF SPOUSE BY FORCE/FEAR/THREAT - 2B0,1
RAPE SPOUSE BY FORCE/FEAR (F),2B0,1,RAPE SPOUSE BY FORCE/FEAR (F) - 2B0,1
RAPE: FORCE/FEAR/ETC.,2B0,4,RAPE: FORCE/FEAR/ETC. - 2B0,1
RAPE: VICTIM INCAPABLE OF CONSENT,2B0,2,RAPE: VICTIM INCAPABLE OF CONSENT - 2B0,1
RAPE:VIC INCAPABLE OF GIVING CONSENT (F),2B0,6,RAPE:VIC INCAPABLE OF GIVING CONSENT (F) - 2B0,1
RAPE:VICTIM WAS UNCONSCIOUS OR ASLEEP (F),2B0,1,RAPE:VICTIM WAS UNCONSCIOUS OR ASLEEP (F) - 2B0,1
RAPE/ETC IN CONCERT WITH FORCE/VIOLENCE,2B0,1,RAPE/ETC IN CONCERT WITH FORCE/VIOLENCE - 2B0,1
ASSAULT W/INTENT TO COMMIT RAPE (F),2B1,7,ASSAULT W/INTENT TO COMMIT RAPE (F) - 2B1,1
CRIME AGAINST NATURE/SODOMY NOT SPECIFIED,2B1,1,CRIME AGAINST NATURE/SODOMY NOT SPECIFIED - 2B1,1
ORAL COPULATION,2B1,1,ORAL COPULATION - 2B1,1
SEXUAL PENETRATION W/ FOREIGN OBJECT W/ FORCE,2B1,1,SEXUAL PENETRATION W/ FOREIGN OBJECT W/ FORCE - 2B1,1
ATTEMPTED ROBBERY,3AA,5,ATTEMPTED ROBBERY - 3AA,1
CARJACKING,3AA,3,CARJACKING - 3AA,1
CARJACKING (F),3AA,52,CARJACKING (F) - 3AA,1
ROBBERY,3AA,39,ROBBERY - 3AA,1
ROBBERY (F),3AA,185,ROBBERY (F) - 3AA,1
ROBBERY: FIRST DEGREE,3AA,2,ROBBERY: FIRST DEGREE - 3AA,1
ROBBERY: SECOND DEGREE,3AA,3,ROBBERY: SECOND DEGREE - 3AA,1
CARJACKING (F),3AB,1,CARJACKING (F) - 3AB,1
KIDNAPPING TO COMMIT ROBBERY,3AB,1,KIDNAPPING TO COMMIT ROBBERY - 3AB,1
ROBBERY,3AB,8,ROBBERY - 3AB,1
ROBBERY (F),3AB,72,ROBBERY (F) - 3AB,1
ROBBERY: SECOND DEGREE,3AB,2,ROBBERY: SECOND DEGREE - 3AB,1
ROBBERY:SECOND DEGREE,3AB,1,ROBBERY:SECOND DEGREE - 3AB,1
ROBBERY,3AC,3,ROBBERY - 3AC,1
ROBBERY (F),3AC,16,ROBBERY (F) - 3AC,1
ROBBERY: FIRST DEGREE,3AC,1,ROBBERY: FIRST DEGREE - 3AC,1
CARJACKING (F),3AD,1,CARJACKING (F) - 3AD,1
ROBBERY (F),3AD,25,ROBBERY (F) - 3AD,1
ROBBERY: SECOND DEGREE,3AD,1,ROBBERY: SECOND DEGREE - 3AD,1
ATTEMPTED ROBBERY,3AE,1,ATTEMPTED ROBBERY - 3AE,1
CARJACKING (F),3AE,3,CARJACKING (F) - 3AE,1
ROBBERY,3AE,4,ROBBERY - 3AE,1
ROBBERY (F),3AE,44,ROBBERY (F) - 3AE,1
ROBBERY: SECOND DEGREE,3AE,1,ROBBERY: SECOND DEGREE - 3AE,1
ROBBERY,3AF,1,ROBBERY - 3AF,1
ROBBERY (F),3AF,5,ROBBERY (F) - 3AF,1
ROBBERY: SECOND DEGREE,3AF,1,ROBBERY: SECOND DEGREE - 3AF,1
ATTEMPTED ROBBERY,3AG,1,ATTEMPTED ROBBERY - 3AG,1
CARJACKING (F),3AG,2,CARJACKING (F) - 3AG,1
ROBBERY,3AG,7,ROBBERY - 3AG,1
ROBBERY (F),3AG,30,ROBBERY (F) - 3AG,1
ATTEMPTED ROBBERY,3BA,6,ATTEMPTED ROBBERY - 3BA,1
CARJACKING,3BA,4,CARJACKING - 3BA,1
CARJACKING (F),3BA,21,CARJACKING (F) - 3BA,1
ROBBERY,3BA,16,ROBBERY - 3BA,1
ROBBERY (F),3BA,128,ROBBERY (F) - 3BA,1
ROBBERY: FIRST DEGREE,3BA,1,ROBBERY: FIRST DEGREE - 3BA,1
ROBBERY: SECOND DEGREE,3BA,2,ROBBERY: SECOND DEGREE - 3BA,1
ATTEMPTED ROBBERY,3BB,1,ATTEMPTED ROBBERY - 3BB,1
CARJACKING (F),3BB,2,CARJACKING (F) - 3BB,1
ROBBERY,3BB,8,ROBBERY - 3BB,1
ROBBERY (F),3BB,75,ROBBERY (F) - 3BB,1
ROBBERY: FIRST DEGREE,3BB,1,ROBBERY: FIRST DEGREE - 3BB,1
